Individual,R_p_panel_rationalisation,R_t_truss_rationalisation,opening_complexity_index,P_f_prefab_level
1,0.01019,0.91177,1.2051,0.57612
2,0.68221,0.98504,0.99274,0.62327
3,0.21662,0.73213,1.16308,0.51365
4,0.65952,0.87277,0.98815,0.8838
5,0.57099,0.37496,1.06153,0.78231
6,0.6051,0.03496,0.9279,0.70094
7,0.8465,0.79053,1.1505,0.775
8,0.9523,0.88096,0.99541,0.83495
9,0.43634,0.46378,1.24131,0.6368
10,0.84366,0.4236,0.97166,0.54405
11,0.92163,0.83658,1.03261,0.77932
12,0.11094,0.17326,0.92557,0.75857
13,0.96597,0.60254,0.97988,0.53298
14,0.73407,0.57671,1.01933,0.73693
15,0.5256,0.80366,0.92134,0.72493
16,0.61311,0.15858,0.8668,0.5495
17,0.49252,0.34451,1.23512,0.67854
18,0.37648,0.28902,1.25506,0.79408
19,0.40916,0.3093,1.0559,0.62065
20,0.09835,0.85821,1.17366,0.62977
21,0.86415,0.68599,0.95734,0.80268
22,0.18158,0.25636,1.15762,0.6658
23,0.46873,0.24361,1.1894,0.51626
24,0.63259,0.09898,1.21388,0.77334
25,0.97864,0.09247,0.93168,0.58794
26,0.94385,0.92538,0.95329,0.52376
27,0.51178,0.64754,1.19208,0.59321
28,0.87301,0.11172,1.01458,0.76514
29,0.80426,0.01423,1.24342,0.50109
30,0.5755,0.6793,0.80396,0.56702
31,0.15957,0.58292,1.15562,0.83223
32,0.40141,0.44285,1.21512,0.6277
33,0.00876,0.89971,1.22336,0.88661
34,0.21092,0.05087,1.10254,0.6468
35,0.03991,0.95183,1.04815,0.69873
36,0.85277,0.72736,1.11727,0.69303
37,0.30025,0.27867,0.94808,0.64478
38,0.10199,0.66999,0.83438,0.87503
39,0.20318,0.6134,1.22578,0.7294
40,0.27344,0.02923,1.0446,0.69775
41,0.26168,0.64272,0.84988,0.54041
42,0.32975,0.2533,1.0952,0.8227
43,0.78208,0.5249,0.9846,0.72095
44,0.47093,0.75794,0.94459,0.65682
45,0.99403,0.36638,1.03811,0.64376
46,0.48468,0.76,0.92287,0.63944
47,0.4436,0.07849,1.23995,0.73282
48,0.61616,0.4472,0.85347,0.68154
49,0.97154,0.65637,0.99149,0.89884
50,0.32371,0.70606,0.96839,0.72243
51,0.25517,0.1245,1.08006,0.75049
52,0.89142,0.62265,1.18214,0.58172
53,0.45248,0.00314,0.89643,0.81331
54,0.0158,0.14998,1.00271,0.85536
55,0.71929,0.7951,1.27177,0.78453
56,0.33908,0.97612,1.25418,0.61702
57,0.47867,0.07118,1.2626,0.78968
58,0.08666,0.15292,1.12241,0.64039
59,0.29435,0.94081,1.2039,0.51801
60,0.51891,0.63837,1.00721,0.792
61,0.36749,0.41522,1.29245,0.82967
62,0.751,0.40412,1.11784,0.73144
63,0.87532,0.39028,0.93853,0.87138
64,0.62288,0.29107,1.05224,0.6057
65,0.69532,0.51809,1.04129,0.71559
66,0.39786,0.23608,1.22759,0.71834
67,0.8051,0.20412,1.02824,0.86293
68,0.73886,0.86222,1.0576,0.58252
69,0.20939,0.55627,1.14675,0.74625
70,0.64924,0.38464,1.22043,0.61985
71,0.17924,0.61589,0.8768,0.85885
72,0.58339,0.6346,1.24979,0.55891
73,0.92914,0.22167,0.94627,0.61209
74,0.6011,0.74152,0.82391,0.56556
75,0.13365,0.55,1.07344,0.63587
76,0.16856,0.46954,1.02537,0.52456
77,0.00273,0.9481,1.07843,0.55199
78,0.68735,0.80735,1.13952,0.51022
79,0.07852,0.9584,1.00962,0.89437
80,0.91504,0.67171,0.94182,0.65217
81,0.78595,0.2709,1.13524,0.65845
82,0.33176,0.49201,0.88444,0.75374
83,0.59448,0.84586,0.88747,0.66732
84,0.49758,0.33722,1.2674,0.86555
85,0.8368,0.9178,0.87215,0.73954
86,0.28669,0.71601,0.82193,0.80839
87,0.04678,0.11783,0.84216,0.80674
88,0.65466,0.93646,1.11033,0.50912
89,0.07024,0.2812,1.06612,0.85639
90,0.43199,0.49984,0.84324,0.66205
91,0.58932,0.2198,0.81556,0.8934
92,0.25439,0.78285,0.81164,0.74216
93,0.4102,0.73722,0.88168,0.54223
94,0.28163,0.99622,1.29373,0.55768
95,0.16021,0.82799,1.17853,0.5759
96,0.67658,0.19351,0.89386,0.50312
97,0.72177,0.21164,1.00063,0.63164
98,0.53089,0.66345,0.95972,0.82558
99,0.55988,0.08957,0.97324,0.7579
100,0.14511,0.04216,1.12801,0.88883
101,0.52116,0.52996,0.98181,0.80115
102,0.99827,0.23113,0.87755,0.79968
103,0.05251,0.74709,0.96095,0.74427
104,0.77797,0.37734,1.09964,0.84696
105,0.3101,0.7751,1.14773,0.56171
106,0.04178,0.01789,0.80859,0.72739
107,0.05757,0.57388,1.093,0.55272
108,0.12039,0.54872,1.14215,0.5379
109,0.50159,0.42777,1.11445,0.61004
110,0.54265,0.10292,1.05478,0.7541
111,0.26728,0.89047,1.28154,0.77669
112,0.71268,0.47138,1.17024,0.70906
113,0.3058,0.87769,0.85547,0.8181
114,0.13782,0.31393,1.20081,0.85179
115,0.18916,0.58928,0.93698,0.85214
116,0.91108,0.39807,1.2977,0.53843
117,0.08238,0.41028,1.28563,0.7937
118,0.93655,0.51389,0.97656,0.53501
119,0.56599,0.32992,1.2119,0.66076
120,0.64472,0.93027,0.80544,0.76627
121,0.37202,0.08105,1.08366,0.68976
122,0.31505,0.18302,1.03737,0.81445
123,0.76124,0.71206,1.26128,0.67258
124,0.66068,0.78861,0.86801,0.59985
125,0.19585,0.48468,1.03244,0.67712
126,0.90715,0.92363,0.98518,0.68389
127,0.79192,0.24715,1.01613,0.62527
128,0.42817,0.32425,0.96552,0.56343
129,0.09365,0.83227,1.10086,0.71738
130,0.48636,0.18635,0.96267,0.59744
131,0.23595,0.50415,1.24608,0.70602
132,0.06141,0.16696,0.86078,0.57341
133,0.55184,0.70468,1.02144,0.71387
134,0.3813,0.35224,0.86321,0.66875
135,0.81637,0.05934,1.2794,0.8727
136,0.39465,0.77164,1.16505,0.57012
137,0.69046,0.99293,1.28962,0.67075
138,0.74401,0.40859,0.90705,0.6876
139,0.85727,0.19578,0.85828,0.70362
140,0.19287,0.60624,0.89058,0.60631
141,0.56406,0.88726,0.85018,0.8267
142,0.46225,0.90737,1.06424,0.79606
143,0.34928,0.10715,0.91342,0.87801
144,0.54636,0.69157,1.01055,0.7631
145,0.53829,0.53369,1.17677,0.84857
146,0.93027,0.35666,0.81287,0.52133
147,0.89717,0.3497,1.13428,0.7353
148,0.06601,0.13739,1.12303,0.6947
149,0.24889,0.86538,0.95067,0.82137
150,0.41907,0.16395,0.82569,0.56981
151,0.10932,0.33042,1.08976,0.58851
152,0.83263,0.72023,1.09011,0.60212
153,0.17203,0.14374,1.10751,0.86825
154,0.36227,0.76968,1.02366,0.77126
155,0.79826,0.84225,1.252,0.83921
156,0.35426,0.56743,0.90428,0.65153
157,0.24157,0.30243,0.88834,0.52842
158,0.88987,0.13155,1.29578,0.84264
159,0.38739,0.06832,0.90752,0.50477
160,0.22297,0.65146,1.04633,0.89116
161,0.72513,0.81648,0.83966,0.59564
162,0.50612,0.48833,1.25776,0.8458
163,0.96304,0.03998,1.28433,0.64989
164,0.03386,0.82442,0.80044,0.71111
165,0.45654,0.81365,1.0719,0.69071
166,0.15283,0.62851,0.91946,0.83724
167,0.44593,0.45538,1.14435,0.7689
168,0.74549,0.85349,0.9014,0.74161
169,0.02316,0.22645,0.91051,0.80525
170,0.14283,0.50544,1.1258,0.67593
171,0.59804,0.26196,1.27488,0.83131
172,0.94554,0.54176,1.18369,0.51457
173,0.12704,0.29625,0.89967,0.86153
174,0.22804,0.12576,1.1605,0.57932
175,0.63955,0.56268,1.07663,0.81746
176,0.62593,0.36371,1.26782,0.76
177,0.75916,0.02346,1.19458,0.81119
178,0.82396,0.04748,0.93473,0.58432
179,0.98532,0.75467,0.91747,0.84067
180,0.8835,0.17938,0.87366,0.87685
181,0.67461,0.26978,1.16792,0.88048
182,0.29789,0.98206,1.15305,0.88531
183,0.34218,0.96914,1.06982,0.65553
184,0.02844,0.68087,1.23078,0.74942
185,0.77219,0.53882,1.19529,0.61506
186,0.95772,0.43019,1.08606,0.78111
187,0.76856,0.6957,1.10505,0.54614
188,0.82658,0.31677,1.27514,0.50657
189,0.70109,0.45235,0.83589,0.52603
190,0.90174,0.96493,1.23259,0.78665
191,0.98091,0.90112,1.21913,0.53152
192,0.35927,0.38655,0.81801,0.5913
193,0.70712,0.20888,0.82951,0.86666
194,0.86519,0.06419,0.99891,0.68556
195,0.4236,0.97092,1.1871,0.63338
196,0.23439,0.59008,0.83204,0.60185
197,0.66886,0.59633,1.1325,0.89785
198,0.27861,0.00572,1.20876,0.70465
199,0.81162,0.47674,0.84703,0.5553
200,0.11614,0.43591,1.19828,0.60859
