Individual,R_p_panel_rationalisation,R_t_truss_rationalisation,opening_complexity_index,P_f_prefab_level
1,0.79224,0.12114,1.18784,0.51678
2,0.13113,0.18115,1.19526,0.75333
3,0.51318,0.90905,0.95426,0.85726
4,0.13945,0.40051,1.0043,0.84592
5,0.19752,0.80397,1.22548,0.7282
6,0.83947,0.64064,0.93033,0.64397
7,0.72824,0.56594,0.91133,0.73489
8,0.01811,0.00258,0.9298,0.56298
9,0.78391,0.3087,1.26652,0.8119
10,0.99381,0.05961,1.11749,0.70078
11,0.09902,0.69231,0.81549,0.59157
12,0.08654,0.89293,1.06564,0.5774
13,0.92597,0.06485,1.28368,0.6991
14,0.3156,0.63532,1.1628,0.67832
15,0.38871,0.13493,0.87481,0.5397
16,0.56644,0.80588,1.29945,0.76803
17,0.70278,0.52706,1.11349,0.66648
18,0.69794,0.75208,1.18391,0.87545
19,0.2286,0.60685,1.21266,0.64552
20,0.74611,0.64969,1.06493,0.69499
21,0.73446,0.58915,0.95789,0.84195
22,0.86373,0.69564,0.83774,0.87734
23,0.7517,0.33603,1.11118,0.82778
24,0.91262,0.45522,0.99196,0.74092
25,0.0133,0.76187,1.02954,0.72323
26,0.52906,0.42867,1.09295,0.55443
27,0.41715,0.54094,0.82079,0.70411
28,0.30209,0.2931,1.08307,0.5139
29,0.86676,0.20252,1.10631,0.58859
30,0.20292,0.94972,0.97719,0.63032
31,0.28999,0.6547,1.28017,0.58061
32,0.721,0.48005,1.23661,0.61435
33,0.60932,0.36126,0.88897,0.57311
34,0.56432,0.67892,1.15591,0.6605
35,0.93298,0.51883,1.01077,0.59414
36,0.90398,0.39479,1.15947,0.63519
37,0.84057,0.74569,1.22007,0.81519
38,0.89026,0.37719,1.20052,0.65442
39,0.50626,0.22053,1.09723,0.69707
40,0.67783,0.93452,0.85558,0.82127
41,0.33832,0.1703,1.13124,0.74957
42,0.24587,0.28888,1.14142,0.6697
43,0.47776,0.43838,0.8149,0.51015
44,0.79826,0.95356,0.94348,0.71491
45,0.26031,0.70859,1.0976,0.88913
46,0.43305,0.53244,0.9077,0.73831
47,0.60054,0.24705,0.99591,0.6765
48,0.36549,0.23644,1.27501,0.85335
49,0.44874,0.55715,0.87171,0.57068
50,0.40955,0.8775,1.07944,0.60461
51,0.1911,0.59584,0.8228,0.61253
52,0.65823,0.02174,0.84111,0.75159
53,0.12484,0.44048,0.80893,0.73651
