Individual,R_p_panel_rationalisation,R_t_truss_rationalisation,opening_complexity_index,P_f_prefab_level
1,0.18902,0.88916,1.25891,0.8785
2,0.5338,0.47506,1.03002,0.55202
3,0.86634,0.79503,1.17466,0.75376
4,0.58395,0.78529,1.1495,0.59925
5,0.12125,0.77433,1.17593,0.60413
6,0.45569,0.20317,0.86634,0.7011
7,0.66195,0.71864,1.29382,0.87118
8,0.48249,0.80979,1.21745,0.62659
9,0.48643,0.64109,1.26261,0.53377
10,0.12803,0.3546,1.25324,0.65248
11,0.26301,0.39121,0.96102,0.60629
12,0.3112,0.73759,1.26947,0.70662
13,0.41311,0.75341,1.12183,0.68468
14,0.56179,0.07899,1.15356,0.55577
15,0.85367,0.53624,0.93753,0.83931
16,0.15145,0.99239,1.01662,0.79224
17,0.18399,0.24023,1.23352,0.51079
18,0.34708,0.36644,0.80529,0.86621
19,0.31777,0.9999,0.91658,0.57341
20,0.61337,0.22953,0.94111,0.58971
21,0.21759,0.91291,1.09077,0.60819
22,0.86129,0.89393,1.13567,0.743
23,0.9499,0.23951,0.8113,0.52849
24,0.82548,0.90166,1.19812,0.60257
25,0.61662,0.2649,1.16848,0.75749
26,0.82275,0.32724,1.07485,0.80595
27,0.90514,0.76079,1.11619,0.63056
28,0.78577,0.16265,0.81563,0.53109
29,0.544,0.66797,0.8038,0.76462
30,0.24392,0.37846,0.83229,0.71612
31,0.92318,0.65335,0.92217,0.6972
32,0.16451,0.33021,0.84919,0.56231
33,0.19378,0.0232,1.10225,0.78938
34,0.06649,0.50961,1.05189,0.77549
35,0.40322,0.44835,1.1042,0.66028
36,0.9567,0.55488,1.05357,0.55119
37,0.81375,0.57756,1.29537,0.77242
38,0.94192,0.84405,1.22183,0.83753
39,0.75577,0.0157,1.18659,0.80257
40,0.60938,0.46948,1.27742,0.53538
41,0.04345,0.61218,0.8083,0.5373
42,0.09372,0.49438,1.08969,0.82515
43,0.2378,0.5866,1.08555,0.55844
44,0.10391,0.45812,0.99737,0.50967
45,0.46724,0.11923,0.82749,0.85471
46,0.39783,0.00856,1.08012,0.67154
47,0.41531,0.4381,0.99331,0.70295
48,0.91278,0.16985,1.065,0.5389
49,0.28907,0.40044,1.14492,0.75942
50,0.50353,0.87051,1.26168,0.82068
51,0.01902,0.09276,1.07784,0.63353
52,0.90248,0.57477,1.19502,0.56889
53,0.74941,0.25343,1.17062,0.71948
54,0.08554,0.35655,0.98486,0.8014
55,0.65438,0.23054,1.04201,0.77789
56,0.35686,0.76724,1.28607,0.52682
57,0.80045,0.6824,0.9544,0.6947
58,0.2731,0.81734,1.16226,0.57599
59,0.37227,0.6931,0.96575,0.82703
60,0.81714,0.28636,0.94719,0.59684
61,0.57426,0.0894,0.82317,0.5154
62,0.34069,0.98644,0.91332,0.8345
63,0.98808,0.94054,1.24011,0.89792
64,0.85707,0.24674,1.1579,0.50351
65,0.30264,0.28468,1.22388,0.6773
66,0.7375,0.4808,1.25006,0.81058
67,0.97567,0.91639,0.89136,0.64162
68,0.17256,0.94963,0.87542,0.63584
69,0.11931,0.44174,0.95687,0.78558
70,0.83586,0.10422,0.96782,0.67582
71,0.10506,0.03023,0.99802,0.71218
72,0.04534,0.80444,1.22567,0.85348
73,0.9673,0.14619,1.00896,0.50573
74,0.80987,0.1859,0.90702,0.54095
75,0.11022,0.97371,0.94938,0.73816
76,0.03495,0.34495,0.87185,0.78709
77,0.29268,0.0448,0.8342,0.58449
78,0.0606,0.85376,1.24386,0.71407
79,0.22709,0.93957,1.12586,0.85987
80,0.51104,0.42994,0.88295,0.74966
81,0.62857,0.11276,0.89716,0.61327
82,0.45271,0.38572,1.14102,0.7215
83,0.07644,0.89925,1.01913,0.63934
84,0.14628,0.58198,1.21017,0.67893
85,0.77933,0.42156,1.0659,0.69224
86,0.71883,0.0275,0.85775,0.57858
87,0.63718,0.50017,1.04839,0.68101
88,0.19703,0.43009,1.23183,0.72516
89,0.99869,0.63132,1.02335,0.7626
90,0.25985,0.52798,1.16671,0.65625
91,0.5354,0.13375,1.01281,0.88468
92,0.5858,0.12479,1.23596,0.64637
93,0.60181,0.46409,1.24603,0.85786
94,0.00754,0.73471,0.84127,0.69844
95,0.83036,0.41818,0.93557,0.80879
96,0.96027,0.86367,1.18425,0.86108
97,0.9161,0.09794,0.83971,0.5905
98,0.15693,0.53041,1.27953,0.56499
99,0.3537,0.54531,1.03508,0.81511
100,0.55305,0.1388,1.06872,0.5061
101,0.44015,0.84601,1.12836,0.73189
102,0.36023,0.05395,0.82893,0.72908
103,0.99226,0.70232,1.24771,0.84829
104,0.17937,0.97503,0.85182,0.87796
105,0.66957,0.26781,1.15604,0.66234
106,0.92683,0.83222,1.12486,0.79745
107,0.16944,0.21537,0.98755,0.71096
108,0.36965,0.01131,1.27354,0.54652
109,0.67203,0.22153,0.99122,0.76676
110,0.68873,0.17673,1.16458,0.57096
111,0.93183,0.66353,0.91189,0.66474
112,0.28077,0.60084,0.97796,0.75049
113,0.07288,0.27222,1.09827,0.73283
114,0.64043,0.56803,0.89934,0.65487
115,0.32332,0.08473,0.97355,0.78338
116,0.55905,0.82057,0.81316,0.6004
117,0.93958,0.9504,1.18233,0.54209
118,0.64724,0.63596,1.10961,0.62367
119,0.20559,0.8111,1.20839,0.62814
120,0.87951,0.96081,0.90387,0.89126
121,0.50935,0.04538,0.84732,0.5671
122,0.52984,0.67105,1.20554,0.79595
123,0.76297,0.69612,1.13477,0.81238
124,0.05837,0.8574,1.28471,0.89378
125,0.47187,0.38324,1.13932,0.64226
126,0.38592,0.25682,0.89422,0.72634
127,0.73146,0.37084,0.92671,0.69131
128,0.0386,0.31047,0.93136,0.65033
129,0.42662,0.47132,1.22896,0.86317
130,0.89346,0.90585,1.21299,0.54535
131,0.69751,0.40741,0.81891,0.83025
132,0.65724,0.79436,1.10668,0.61958
133,0.37984,0.30358,0.86871,0.84685
134,0.13083,0.78102,0.9817,0.86593
135,0.79744,0.88018,1.25615,0.70802
136,0.0208,0.27534,1.28201,0.68816
137,0.57969,0.96718,0.9518,0.62124
138,0.67744,0.68682,1.26522,0.88851
139,0.98166,0.64841,0.86192,0.51281
140,0.56584,0.00042,1.01071,0.79182
141,0.14297,0.19627,1.0427,0.83269
142,0.02699,0.51343,1.2028,0.6661
143,0.22064,0.98284,1.02081,0.76029
144,0.47516,0.87758,0.88631,0.56111
145,0.84696,0.17451,0.90833,0.84555
146,0.32792,0.83557,0.87301,0.80752
147,0.24759,0.74598,0.88942,0.59494
148,0.5495,0.75783,1.08343,0.88048
149,0.72956,0.45283,0.96468,0.64826
150,0.77468,0.5949,1.05561,0.76845
151,0.714,0.18489,0.83672,0.6724
152,0.23239,0.29794,0.85339,0.89581
153,0.33762,0.92379,0.88212,0.61682
154,0.30699,0.77849,0.90162,0.74423
155,0.897,0.21066,1.0067,0.51728
156,0.78021,0.70801,1.11773,0.77091
157,0.87399,0.55653,0.86438,0.54806
158,0.43623,0.61679,1.28839,0.78196
159,0.68015,0.31578,0.97685,0.84189
160,0.75233,0.33504,0.84461,0.74653
161,0.05359,0.36427,1.29031,0.61167
162,0.25218,0.56359,0.82004,0.57691
163,0.33182,0.15376,1.23939,0.88735
164,0.70329,0.41144,0.98742,0.84331
165,0.84081,0.49709,1.19225,0.65946
166,0.13506,0.30588,1.04609,0.72288
167,0.21296,0.39801,1.02708,0.58229
168,0.52265,0.8692,0.87756,0.81761
169,0.00433,0.72389,1.19265,0.87288
170,0.95208,0.59967,1.02895,0.82288
171,0.49393,0.3213,0.92882,0.68352
172,0.79009,0.52351,1.14706,0.68737
173,0.76514,0.67563,0.85558,0.88398
174,0.01299,0.60768,1.06116,0.73678
175,0.40613,0.74055,0.97247,0.52527
176,0.97034,0.0727,1.18826,0.64417
177,0.63064,0.14271,1.03351,0.51823
178,0.20187,0.15673,1.13152,0.70451
179,0.59669,0.29175,0.95999,0.61456
180,0.09782,0.71356,1.07046,0.75489
181,0.49944,0.34741,1.21923,0.66846
182,0.29683,0.48704,1.29854,0.79987
183,0.43092,0.12556,1.271,0.87486
184,0.72289,0.93141,1.15064,0.63676
185,0.46001,0.06424,1.11116,0.5938
186,0.88692,0.19486,0.80144,0.73559
187,0.38159,0.54187,0.94348,0.62554
188,0.44694,0.95935,0.93376,0.81983
189,0.74025,0.51937,1.05909,0.58147
190,0.59277,0.10609,1.17963,0.82861
191,0.27812,0.92637,1.0939,0.52392
192,0.26875,0.82848,1.00346,0.74005
193,0.42479,0.20653,1.0024,0.89979
194,0.70677,0.62978,0.91793,0.85084
195,0.88328,0.72683,1.09511,0.52068
196,0.62221,0.06865,1.07727,0.77895
197,0.69108,0.05854,1.03816,0.5568
198,0.51945,0.03607,1.11288,0.58772
199,0.08373,0.65933,1.20096,0.50161
200,0.39471,0.62164,0.92336,0.86949
