Scenario,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized
prefab_only,0.0,0.0,0,0,1.0,0.72,18335.47230387193,5366.794267889385,93.92021530656349,1.0,1.0,1.0
prefab_only,0.0,0.0,0,0,1.0,0.74,18338.61138342063,5354.669989705271,93.25046247351631,1.0001712025464453,0.9977408714441215,0.992868917188264
prefab_only,0.0,0.0,0,0,1.0,0.76,18352.4645744735,5343.580340720829,92.79771288358074,1.0009267429995778,0.995674526354131,0.988048340612095
prefab_only,0.0,0.0,0,0,1.0,0.78,18376.073294653484,5333.413347158171,92.54272226933857,1.0022143411475133,0.993780100546999,0.9853333701085686
prefab_only,0.0,0.0,0,0,1.0,0.8,18487.27692958285,5324.1888725743165,92.76750360901562,1.0082792863578902,0.9920612952186401,0.9877266923442911
prefab_only,0.0,0.0,0,0,1.0,0.8200000000000001,18763.818367284188,5315.9376282400435,93.75593335215919,1.023361605106938,0.9905238328300328,0.9982508349893783
prefab_only,0.0,0.0,0,0,1.0,0.8400000000000001,19204.734740856544,5308.580327324139,95.49438231689616,1.0474087835087318,0.9891529397887391,1.0167606835780185
prefab_only,0.0,0.0,0,0,1.0,0.86,19809.13693357139,5302.046300584747,97.97070191193566,1.0803723299447412,0.9879354482261341,1.0431268879883957
prefab_only,0.0,0.0,0,0,1.0,0.88,20576.201567106953,5296.27255963525,101.17406329430482,1.122207338109411,0.9868596214548263,1.077234149901213
prefab_only,0.0,0.0,0,0,1.0,0.9,21505.163860131637,5291.202962033369,105.09481400000001,1.1728720975237903,0.9859149983988963,1.1189796962982004
